0;Keyword Entity Name;QID SPARQL;Score SPARQL;QID Pywikibot;Score Pywikibot;QID Benchmark;Score Benchmark;Comment;;;;
266;opetopes;N/A;;N/A;;Q48970630;2;;;;;
267;coherent algebra;N/A;0;Q56289856;2;Q56289856;2;;;;;
268;slice operad;N/A;;N/A;;N/A;0;;;;;
269;supersymmetric function;N/A;;N/A;;N/A;0;;;;;
270;connection coefficient;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. Some pages are observed for ""keyword entity name"" in the Google search.";;;;
271;isotropic submanifold;N/A;;N/A;;N/A;0;;;;;
272;integral representation;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article""";;;;
273;quasimodes;N/A;;N/A;;Q7269502;2;;;;;
274;geometric quantization;Q630426;2;Q630426;2;Q630426;2;;;;;
275;symplectic connection;N/A;;N/A;;N/A;0;;;;;
276;factor space;N/A;;N/A;;N/A;0;Please see https://en.wiktionary.org/wiki/factor_space;;;;
277;lebesgue space;N/A;0;Q6511321;2;Q6511321;2;;;;;
278;stochastically independent;Q625303;;N/A;;Q625303;1;;;;;
279;stochastically commuting;N/A;;N/A;;N/A;0;;;;;
280;holomorphic dynamic;N/A;;N/A;;N/A;0;Please see https://en.wikipedia.org/wiki/Complex_dynamics#Parts;;;;
281;quasiconformal;N/A;;N/A;;Q380576;1;;;;;
282;teichmüller space;N/A;0;Q2400539;2;Q2400539;2;;;;;
283;rational map;N/A;;N/A;;Q987226;2;;;;;
284;fatou set;N/A;0;Q3054872;2;Q3054872;2;;;;;
285;julia set;N/A;0;Q848427;2;Q848427;2;;;;;
286;bott periodicity;N/A;;N/A;;Q4948983;2;;;;;
287;crossed product;N/A;0;Q3406705;2;Q3406705;2;(Q178192) this is expected for cross product.;;;;
288;compact group;Q1887083;2;Q1887083;2;Q1887083;2;;;;;
289;grothendieck group;N/A;0;Q1128678;2;Q1128678;2;;;;;
290;complex gvector bundle;N/A;;N/A;;Q18705746;2;"""complex gvector bundle"" can be corrected to ""complex vector bundle"".";;;;
291;reduced equivariant ktheory;N/A;;N/A;;N/A;0;;;;;
292;mathbb { } /2graded c^*algebra;N/A;;N/A;;Q263809;1;;;;;
293;clifford algebra;N/A;0;Q674689;2;Q674689;2;;;;;
294;novikov conjecture;N/A;0;Q7064908;2;Q7064908;2;;;;;
295;homotopy invariance higher signature;N/A;;N/A;;N/A;0;;;;;
296;schur complex;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But ONE wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
297;koszul complex;N/A;0;Q6433699;2;Q6433699;2;;;;;
298;row convex shape;N/A;;N/A;;N/A;0;;;;;
299;autocovariance operator;N/A;;N/A;;Q786973;1;;;;;
300;linear stochastic difference equation;N/A;;N/A;;Q1545585;1;;;;;
301;continued fraction;N/A;0;Q206816;2;Q206816;2;;;;;
302;semisimple lie group;N/A;;N/A;;Q15819036;2;;;;;
303;abel transform;N/A;0;Q4666656;2;Q4666656;2;;;;;
304;fourier multiplier;N/A;;N/A;;Q6935014;1;;;;;
305;zonal spherical function;N/A;0;Q8073863;2;Q8073863;2;;;;;
306;radial maximal operator;N/A;;N/A;;N/A;0;;;;;
307;heat poisson maximal operator;N/A;;N/A;;N/A;0;;;;;
308;riesz transform;N/A;0;Q7333169;2;Q7333169;2;;;;;
309;müntzszasz theorem;N/A;;N/A;;Q3527129;2;;;;;
310;fourier transform;N/A;0;Q6520159;2;Q6520159;2;;;;;
311;nilpotent lie group;N/A;;N/A;;Q15148889;2;;;;;
312;unitary representation;Q10359539;2;Q10359539;2;Q10359539;2;;;;;
313;orbit method;Q7100049;2;Q7100049;2;Q7100049;2;;;;;
314;operator space;N/A;0;Q7097841;2;Q7097841;2;;;;;
315;completely bounded mapping;N/A;;N/A;;N/A;0;;;;;
316;bimodule;Q2903821;2;Q2903821;2;Q2903821;2;;;;;
317;relative yoneda cohomology;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. Some pages are observed for ""keyword entity name"" in the Google search. ";;;;
318;hochschild cohomology;N/A;;N/A;;Q1622047;1;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
319;relative injectivity;N/A;;N/A;;N/A;0;;;;;
320;projectivity;N/A;;N/A;;Q2112539;0;Please see https://en.wikipedia.org/wiki/Homography.  I gave score ZERO because though concept is same but words are different.;;;;
321;amenability;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
322;derived functor realization;N/A;;N/A;;N/A;0;;;;;
323;sznagyfoias commutant lifting theorem;N/A;;N/A;;N/A;0;;;;;
324;fractional integral;N/A;;N/A;;Q1339058;1;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". Please see https://en.wikipedia.org/wiki/Fractional_calculus#Fractional_integrals";;;;
325;radon transforms;N/A;;N/A;;Q979829;2;;;;;
326;spherical convolution;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
327;beltramilaplace operator;N/A;;N/A;;Q1071846;2;"""beltramilaplace operator"" can be corrected to ""Laplace–Beltrami operator"".";;;;
328;analytical continuation;N/A;;N/A;;Q485287;2;;;;;
329;spherical fourier multiplier;N/A;;N/A;;N/A;0;;;;;
330;spherical multilinear convolution;N/A;;N/A;;N/A;0;;;;;
331;csl algebra;N/A;;N/A;;N/A;0;;;;;
332;csm space;N/A;;N/A;;N/A;0;;;;;
333;maximal abelian selfadjoint algebra;N/A;;N/A;;Q4666687;1;;;;;
334;inner function;Q3075246;1;N/A;0;N/A;0;"(Q3075246) refers to ""nested function"". ";;;;
335;invariant subspace;Q2706744;2;Q2706744;2;Q2706744;2;;;;;
336;carleson measure;N/A;0;Q5041178;2;Q5041178;2;;;;;
337;embedding theorem;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
338;hardy space;N/A;0;Q1585233;2;Q1585233;2;;;;;
339;logsobolev inequality;N/A;;N/A;;Q97610260;2;Please check.;;;;
340;loop space;Q2066070;2;Q2066070;2;Q2066070;2;;;;;
341;riemannian manifold;N/A;0;Q632814;2;Q632814;2;;;;;
342;heat kernel;Q3345669;2;Q3345669;2;Q3345669;2;;;;;
343;martingale representation theorem;N/A;0;Q6777133;2;Q6777133;2;;;;;
344;clarkoconehaussman formula;N/A;;N/A;;Q5127710;1;"Please check https://en.wikipedia.org/wiki/Clark%E2%80%93Ocone_theorem. ""clarkoconehaussman formula"" can be corrected to ""clark ocone haussmann formula"".";;;;
345;volterra operator;N/A;0;Q5313336;2;Q5313336;2;;;;;
346;retarded differential equation;N/A;;N/A;;N/A;0;;;;;
347;hereditary structure;N/A;;N/A;;N/A;0;;;;;
348;homeomorphism;Q202906;2;Q202906;2;Q202906;2;;;;;
349;unimodular group;N/A;;N/A;;Q1162676;2;Please see https://en.wikipedia.org/?title=Unimodular_group&redirect=no.;;;;
350;upper triangular matrix;N/A;;N/A;;Q506265;1;;;;;
351;irreducible complex character;N/A;;N/A;;N/A;0;;;;;
352;regular character;Q24964251;2;Q24964251;2;Q24964251;2;;;;;
353;reductive group;Q1006450;2;Q1006450;2;Q1006450;2;;;;;
354;finite field;Q603880;2;Q603880;2;Q603880;2;;;;;
355;character sheaf;N/A;;N/A;;N/A;0;;;;;
356;mackey formula;N/A;;N/A;;N/A;0;;;;;
357;induced representation;N/A;0;Q3427423;2;Q3427423;2;;;;;
358;harishchandra induction;N/A;;N/A;;N/A;0;;;;;
359;lusztig induction;N/A;;N/A;;N/A;0;;;;;
360;frobenius morphisms;N/A;;N/A;;N/A;0;;;;;
361;hopf galois theory;N/A;;N/A;;N/A;0;;;;;
362;faithfully flat right galois extension;N/A;;N/A;;N/A;0;;;;;
363;left comodule algebra;N/A;;N/A;;N/A;0;;;;;
364;left galois extension;N/A;;N/A;;N/A;0;;;;;
365;bicomodules;N/A;;N/A;;N/A;0;;;;;
366;bigalois extension;N/A;;N/A;;N/A;0;;;;;
367;galois connection;N/A;0;Q1491747;2;Q1491747;2;;;;;
368;bijective antipode;N/A;;N/A;;N/A;0;;;;;
369;quotient coalgebras;N/A;;N/A;;Q1777803;1;"If we search ""quotient coalgebras"" in wikidata. We get several scholarly articles. I choose Q1777803 for Coalgebra from Google search.";;;;
370;lattice hopf subalgebras;N/A;;N/A;;N/A;0;;;;;
371;tame extension;N/A;;N/A;;N/A;0;;;;;
372;class group;Q912083;1;N/A;0;Q912083;2;;;;;
373;hopf order;N/A;;N/A;;Q1627597;1;Please see https://en.wikipedia.org/wiki/Hopf_algebra#Hopf_orders;;;;
374;realizable class;N/A;;N/A;;N/A;0;;;;;
375;galois module structure;N/A;;N/A;;Q3427418;1;"If we search ""galois module structure"" in wikidata. We get few scholarly articles but not exact ""galois module structure"". I choose Q3427418 for ""Galois module"" from Google search.";;;;
376;cocommutative separable hopf algebra;N/A;;N/A;;N/A;0;;;;;
377;pnilpotence;N/A;;N/A;;Q17099400;1;;;;;
378;number sylow subgroup;N/A;;N/A;;N/A;0;;;;;
379;finite group;Q1057968;2;Q1057968;2;Q1057968;2;;;;;
380;sylow theorem;N/A;;N/A;;Q1057919;1;;;;;
381;normal pcomplements;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
382;matrix problem;N/A;;N/A;;Q58119533;2;;;;;
383;bipartite posets;N/A;;N/A;;N/A;0;;;;;
384;prinjective module;N/A;;N/A;;N/A;0;;;;;
385;tit quadratic form;N/A;;N/A;;N/A;0;;;;;
386;preprojective component;N/A;;N/A;;N/A;0;;;;;
387;finite partially ordered set;N/A;;N/A;;Q474715;1;;;;;
388;incidence algebra;Q371133;2;Q371133;2;Q371133;2;;;;;
389;indecomposable prinjective module;N/A;;N/A;;N/A;0;;;;;
390;critical bipartite posets;N/A;;N/A;;N/A;0;;;;;
391;auslanderreiten quiver;N/A;;N/A;;Q4822775;2;;;;;
392;virasoro algebra;N/A;0;Q1366201;2;Q1366201;2;;;;;
393;representation;Q2905654;2;Q249614;2;Q2905654;2;(Q2905654) refers to mathematical term.;;;;
394;code vertex operator algebra;N/A;;N/A;;N/A;0;;;;;
395;simple vertex operator algebra;N/A;;N/A;;Q28509;1;"If we search ""simple vertex operator algebra"" in wikidata. We do not get any exact result for ""simple vertex operator algebra"". I choose Q28509 for ""vertex operator algebra"" from Wikipedia.";;;;
396;rational conformal vector;N/A;;N/A;;N/A;0;;;;;
397;virasoro element;N/A;;N/A;;N/A;0;;;;;
398;elementary abelian automorphism 2group;N/A;;N/A;;N/A;0;;;;;
399;irreducible module;N/A;;N/A;;N/A;0;;;;;
400;fusion rule;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
401;linearly topologized ring;N/A;;N/A;;N/A;0;;;;;
402;category equivalence;N/A;;N/A;;N/A;0;;;;;
403;category topologized module;N/A;;N/A;;N/A;0;;;;;
404;lower central series;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
405;derivation;Q2762418;1;Q398804;2;Q398804;2;;;;;
406;superadditive sequence;N/A;;N/A;;N/A;0;;;;;
407;polynomial sequence;Q4762627;1;Q1052437;2;Q1052437;2;;;;;
408;solvability embedding problem;N/A;;N/A;;N/A;0;;;;;
409;obstruction;Q7075550;2;Q421560;2;Q1017338;2;;;;;
410;confluence;Q1140902;2;Q723748;2;Q1140902;2;(Q1140902) refers to Church–Rosser property.;;;;
411;polynomial algebra;Q1455652;1;N/A;0;Q1455652;1;;;;;
412;quadratic algebra;Q7268354;2;Q7268354;2;Q7268354;2;;;;;
413;diamond lemma;Q1208706;1;N/A;0;Q1208706;1;(Q1208706) exactly refers to Newman's lemma.;;;;
414;tensor algebra;Q2296021;2;Q2296021;2;Q2296021;2;;;;;
415;reduction operator;N/A;;N/A;;Q30589103;2;;;;;
416;generalized free product;N/A;;N/A;;N/A;0;;;;;
417;finitely generated torsionfree nilpotent group;N/A;;N/A;;N/A;0;;;;;
418;residually finite pgroups;N/A;;N/A;;N/A;0;;;;;
419;tree product;N/A;;N/A;;N/A;0;;;;;
420;essential cover;N/A;;N/A;;N/A;0;;;;;
421;generalized polynomial identity;N/A;;N/A;;N/A;0;;;;;
422;lattice radical;N/A;;N/A;;N/A;0;;;;;
423;complemented radical;N/A;;N/A;;N/A;0;;;;;
424;special radical;N/A;;N/A;;N/A;0;;;;;
425;matrix ring finite field;N/A;;N/A;;N/A;0;;;;;
426;semisimple class;N/A;;N/A;;N/A;0;;;;;
427;subdirect product;N/A;0;Q1691827;2;Q1691827;2;;;;;
428;direct sum simple ring;N/A;;N/A;;N/A;0;;;;;
429;kacmoody algebra;N/A;;N/A;;Q856666;2;"""kacmoody algebra"" can be corrected to ""Kac–Moody algebra"".";;;;
430;lie superalgebras;N/A;;N/A;;Q56213748;2;;;;;
431;borel algebra;N/A;;N/A;;Q1080067;2;;;;;
432;generalized root decomposition;N/A;;N/A;;N/A;0;;;;;
433;representation lie superalgebras;N/A;;N/A;;Q7314199;2;"""representation lie superalgebras"" can be corrected to ""representation of a Lie superalgebra"".";;;;
434;weak kacmoody superalgebras;N/A;;N/A;;N/A;0;;;;;
435;lie group;N/A;0;Q622679;2;Q622679;2;;;;;
436;symplectic reduction;N/A;;N/A;;N/A;0;;;;;
437;plurisubharmonic;N/A;;N/A;;Q7205565;2;;;;;
438;moment map;Q6897118;2;Q6897118;2;Q6897118;2;;;;;
439;complex reductive lie group;N/A;;N/A;;N/A;0;;;;;
440;stein manifold;N/A;0;Q931187;2;Q931187;2;;;;;
441;spectral collocation method;N/A;;N/A;;Q1779479;1;;;;;
442;triangular element;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
443;auxiliary mapping;N/A;;N/A;;N/A;0;;;;;
444;preconditioning;Q1754327;2;N/A;0;Q1754327;2;;;;;
445;domain decomposition;N/A;;N/A;;Q5289813;1;Score Benchmark could be 2;;;;
446;chebyshev collocation method;N/A;;N/A;;N/A;0;I neglect https://en.wikipedia.org/wiki/Fractional_Chebyshev_collocation_method;;;;
447;singular solution;N/A;2;Q4338245;2;Q4338245;2;;;;;
448;finite difference;Q2068418;2;Q2068418;2;Q2068418;2;;;;;
449;iterative solver;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
450;molecular distance;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
451;unequal rate;N/A;;N/A;;N/A;0;;;;;
452;gamma distribution;Q117806;2;Q117806;2;Q117806;2;;;;;
453;synonymous site;N/A;;N/A;;N/A;0;;;;;
454;base frequency;N/A;;N/A;;N/A;0;;;;;
455;direct numerical simulation;Q1227572;2;Q1227572;2;Q1227572;2;;;;;
456;fully developed turbulent channel flow;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But few wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
457;loworder finite difference method;N/A;;N/A;;N/A;0;;;;;
458;taylor expansion;N/A;;N/A;;Q18123018;2;;;;;
459;coriolis force;N/A;0;Q169973;2;Q169973;2;;;;;
460;effective angular velocity;N/A;;N/A;;N/A;0;;;;;
461;polynomial decay;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But few wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
462;travelling wave;N/A;;N/A;;Q59038264;2;"It is ""scientific article published in Nature"". Please check.";;;;
463;critical front speed;N/A;;N/A;;N/A;0;;;;;
464;regularity;N/A;;N/A;;Q4184950;2;;;;;
465;driftdiffusion equation;N/A;;N/A;;N/A;0;"""driftdiffusion equation"" can be corrected to ""drift-diffusion equation"".";;;;
466;maxwell equation;N/A;;N/A;;Q51501;2;;;;;
467;chargetransport;N/A;;N/A;;Q30673883;1;;;;;
468;semiconductor;Q16917939;1;Q11456;2;Q11456;2;;;;;
469;sobolevembedding theorem;N/A;;N/A;;Q3711848;1;;;;;
470;fractional order sobolev space;N/A;;N/A;;Q1501536;1;;;;;
471;hölder linearization;N/A;;N/A;;N/A;0;;;;;
472;hartman grobman theorem;N/A;;N/A;;Q211981;2;;;;;
473;neutral partial functional differential equation;N/A;;N/A;;N/A;0;;;;;
474;nondense domain;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But few wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
475;uniqueness;Q2502253;1;Q22976830;2;Q22976830;2;;;;;
476;water wave problem;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But some wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
477;kdv equation;N/A;;N/A;;Q601796;2;Please see https://en.wikipedia.org/wiki/Korteweg%E2%80%93De_Vries_equation;;;;
478;nls equation;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But some wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
479;approximation;Q27058;2;Q27058;2;Q27058;2;;;;;
480;estimate hausdorff dimension;N/A;;N/A;;N/A;0;;;;;
481;local scaling limit;N/A;;N/A;;N/A;0;;;;;
482;point solution;N/A;;N/A;;N/A;0;;;;;
483;sublinear elliptic boundary value problem;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. Some pages are observed for ""keyword entity name"" in the Google search.";;;;
484;holomorphic perturbation boundary;N/A;;N/A;;N/A;0;;;;;
485;differential inclusion hilbert space;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. Some pages are observed for ""keyword entity name"" in the Google search.";;;;
486;strong solution;N/A;;N/A;;Q54290810;2;Please check.;;;;
487;maximal monotone operator;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
488;parabolic feedback control system;N/A;;N/A;;N/A;0;;;;;
489;reducibility;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
490;scalar mongeampère type equation thirdorder;N/A;;N/A;;N/A;0;"corrected to ""scalar monge-ampère type equation third order""";;;;
491;multiple characteristic;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
492;invariant curve;N/A;;N/A;;N/A;0;;;;;
493;symbolic dynamic;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
494;variation absolute continuity;N/A;;N/A;;N/A;0;;;;;
495;generalized riemann integral;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But few wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
496;lebesgue integral;N/A;;N/A;;Q853831;2;;;;;
497;charge;Q1111;1;Q77076;2;Q1111;2;;;;;
498;linear difference equation;N/A;0;Q364089;2;Q364089;2;;;;;
499;explicit solution;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
500;companion matrix;N/A;0;Q814361;2;Q814361;2;;;;;
