;Keyword Entity Name;QID SPARQL;Score SPARQL;QID Pywikibot;Score Pywikibot;QID Benchmark;Score Benchmark;Comment;;;;
450;molecular distance;N/A;;N/A;;;;;;;;
451;unequal rate;N/A;;N/A;;;;;;;;
452;gamma distribution;Q117806;2;Q117806;2;Q117806;2;;;;;
453;synonymous site;N/A;;N/A;;;;;;;;
454;base frequency;N/A;;N/A;;;;;;;;
455;direct numerical simulation;Q1227572;2;Q1227572;2;Q1227572;2;;;;;
456;fully developed turbulent channel flow;N/A;;N/A;;;;;;;;
457;loworder finite difference method;N/A;;N/A;;;;;;;;
458;taylor expansion;N/A;;N/A;;;;;;;;
459;coriolis force;N/A;0;Q169973;2;Q169973;2;;;;;
460;effective angular velocity;N/A;;N/A;;;;;;;;
461;polynomial decay;N/A;;N/A;;;;;;;;
462;travelling wave;N/A;;N/A;;;;;;;;
463;critical front speed;N/A;;N/A;;;;;;;;
464;regularity;N/A;;N/A;;;;;;;;
465;driftdiffusion equation;N/A;;N/A;;;;;;;;
466;maxwell equation;N/A;;N/A;;;;;;;;
467;chargetransport;N/A;;N/A;;;;;;;;
468;semiconductor;Q16917939;1;Q11456;2;Q11456;2;;;;;
469;sobolevembedding theorem;N/A;;N/A;;;;;;;;
470;fractional order sobolev space;N/A;;N/A;;;;;;;;
471;hölder linearization;N/A;;N/A;;;;;;;;
472;hartman grobman theorem;N/A;;N/A;;;;;;;;
473;neutral partial functional differential equation;N/A;;N/A;;;;;;;;
474;nondense domain;N/A;;N/A;;;;;;;;
475;uniqueness;Q2502253;1;Q22976830;2;Q22976830;2;;;;;
476;water wave problem;N/A;;N/A;;;;;;;;
477;kdv equation;N/A;;N/A;;;;;;;;
478;nls equation;N/A;;N/A;;;;;;;;
479;approximation;Q27058;2;Q27058;2;Q27058;2;;;;;
480;estimate hausdorff dimension;N/A;;N/A;;;;;;;;
481;local scaling limit;N/A;;N/A;;;;;;;;
482;point solution;N/A;;N/A;;;;;;;;
483;sublinear elliptic boundary value problem;N/A;;N/A;;;;;;;;
484;holomorphic perturbation boundary;N/A;;N/A;;;;;;;;
485;differential inclusion hilbert space;N/A;;N/A;;;;;;;;
486;strong solution;N/A;;N/A;;;;;;;;
487;maximal monotone operator;N/A;;N/A;;;;;;;;
488;parabolic feedback control system;N/A;;N/A;;;;;;;;
489;reducibility;N/A;;N/A;;;;;;;;
490;scalar mongeampère type equation thirdorder;N/A;;N/A;;;;;;;;
491;multiple characteristic;N/A;;N/A;;;;;;;;
492;invariant curve;N/A;;N/A;;;;;;;;
493;symbolic dynamic;N/A;;N/A;;;;;;;;
494;variation absolute continuity;N/A;;N/A;;;;;;;;
495;generalized riemann integral;N/A;;N/A;;;;;;;;
496;lebesgue integral;N/A;;N/A;;;;;;;;
497;charge;Q1111;1;Q77076;2;Q1111;2;;;;;
498;linear difference equation;N/A;0;Q364089;2;Q364089;2;;;;;
499;explicit solution;N/A;;N/A;;;;;;;;
500;companion matrix;N/A;0;Q814361;2;Q814361;2;;;;;
